Account,date,n_trades,volume_usd,avg_trade_size_usd,realized_pnl,fees,n_buy,n_sell,n_realized_trades,win_rate,long_short_ratio,net_pnl_after_fees,classification,sentiment_simple,value
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-05,4,23986.050000000003,5996.512500000001,0.0,8.395113,0,4,,,0.0,-8.395113,Greed,Greed,69
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-06,9,206016.43,22890.714444444442,968.59038,72.105746,8,1,4.0,1.0,8.0,896.484634,Greed,Greed,71
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-07,10,98901.26000000001,9890.126,656.21704,34.615441,4,6,7.0,1.0,0.6666666666666666,621.601599,Greed,Greed,68
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-08,10,65834.19,6583.419,0.0,23.04196,10,0,,,,-23.04196,Greed,Greed,64
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-09,25,216990.58,8679.6232,1147.595856,75.946694,9,16,11.0,1.0,0.5625,1071.649162,Greed,Greed,55
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-10,22,156882.0,7131.0,2101.741695,54.90869,16,6,6.0,1.0,2.6666666666666665,2046.8330050000002,Greed,Greed,66
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-11,9,63248.95,7027.661111111111,251.604742,22.137125,0,9,9.0,1.0,0.0,229.467617,Neutral,Neutral,53
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-12,10,45004.64,4500.464,0.0,15.751622000000001,10,0,,,,-15.751622000000001,Greed,Greed,56
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-13,25,188144.09,7525.7636,2136.853859,65.850416,5,20,10.0,1.0,0.25,2071.0034429999996,Greed,Greed,57
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-14,23,145853.4,6341.452173913043,1150.5233050000002,51.048685,23,0,4.0,1.0,,1099.4746200000002,Greed,Greed,66
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-15,36,234922.57,6525.626944444444,948.970582,82.222887,11,25,17.0,1.0,0.44,866.747695,Greed,Greed,64
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-16,24,158780.89,6615.870416666668,214.5898,55.573295,14,10,5.0,1.0,1.4,159.016505,Greed,Greed,70
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-18,25,126303.14,5052.1256,3522.3946610000003,44.206092,7,18,16.0,1.0,0.3888888888888889,3478.1885690000004,Greed,Greed,73
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-19,8,29998.09,3749.76125,0.0,10.499327000000001,8,0,,,,-10.499327000000001,Greed,Greed,72
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-20,7,33003.4,4714.771428571429,0.0,11.55119,7,0,,,,-11.55119,Greed,Greed,70
