date,n_trades,n_active_accounts,total_volume_usd,total_realized_pnl,avg_trade_size_usd,n_buy,n_sell,long_short_ratio,classification,sentiment_simple,value,win_rate
2024-06-07,440,3,1098588.76,8902.467416,2496.7926363636366,181,259,0.6988416988416989,Extreme Greed,Greed,77,0.9887640449438202
2024-06-08,29,2,97351.88,129.13883900000002,3356.961379310345,21,8,2.625,Greed,Greed,72,1.0
2024-06-09,17,2,22410.22,0.0,1318.2482352941176,17,0,inf,Extreme Greed,Greed,75,
2024-06-10,53,2,46587.93,31.266804999999998,879.0175471698113,22,31,0.7096774193548387,Greed,Greed,72,1.0
2024-06-11,123,3,373279.92,4320.631811,3034.7960975609753,114,9,12.666666666666666,Greed,Greed,74,1.0
2024-06-12,254,2,193407.96,-21886.531493,761.4486614173228,115,139,0.8273381294964028,Greed,Greed,72,0.2692307692307692
2024-06-13,79,2,132577.22,6632.757115,1678.1926582278481,76,3,25.333333333333332,Greed,Greed,70,0.95
2024-06-14,31,2,139868.66,10258.592609,4511.892258064517,31,0,inf,Greed,Greed,74,1.0
2024-06-15,78,2,718350.25,3369.958346,9209.61858974359,9,69,0.13043478260869565,Greed,Greed,74,1.0
2024-06-16,11,1,25235.079999999998,0.0,2294.0981818181817,0,11,0.0,Greed,Greed,71,
2024-06-17,38,2,368380.12,10599.502375,9694.213684210526,32,6,5.333333333333333,Greed,Greed,71,0.9615384615384616
2024-06-18,25,2,263314.79,282.57636,10532.5916,21,4,5.25,Greed,Greed,74,1.0
2024-06-19,61,3,417071.12,4887.656944,6837.231475409836,3,58,0.05172413793103448,Greed,Greed,64,1.0
2024-06-20,39,3,207990.8,57478.456026,5333.097435897435,0,39,0.0,Greed,Greed,60,1.0
2024-06-21,80,2,176264.49,773.5582039999999,2203.306125,68,12,5.666666666666667,Greed,Greed,63,1.0
2024-06-22,24,2,169594.27000000002,756.876565,7066.427916666667,4,20,0.2,Neutral,Neutral,53,1.0
2024-06-23,5,1,1792.12,0.0,358.424,0,5,0.0,Greed,Greed,55,
2024-06-24,31,2,403002.8,0.0,13000.090322580645,25,6,4.166666666666667,Neutral,Neutral,51,
2024-06-25,49,1,103099.08,4869.353105,2104.062857142857,11,38,0.2894736842105263,Fear,Fear,30,1.0
2024-06-26,72,2,365190.66000000003,4197.732182,5072.092500000001,41,31,1.3225806451612903,Neutral,Neutral,46,1.0
2024-06-27,30,2,130486.95,0.0,4349.565,12,18,0.6666666666666666,Fear,Fear,40,
2024-06-29,75,2,280095.11,6150.326145,3734.6014666666665,35,40,0.875,Fear,Fear,30,1.0
2024-06-30,14,2,30520.69,0.0,2180.049285714286,5,9,0.5555555555555556,Neutral,Neutral,47,
2024-07-01,64,2,362670.14999999997,5065.839308,5666.721093749999,6,58,0.10344827586206896,Neutral,Neutral,53,1.0
2024-07-02,18,1,33347.47,2421.253116,1852.6372222222224,13,5,2.6,Neutral,Neutral,51,1.0
2024-07-03,18,2,179600.66,1118.387284,9977.814444444444,18,0,inf,Neutral,Neutral,50,1.0
2024-07-04,25,2,430568.01,0.0,17222.720400000002,25,0,inf,Fear,Fear,44,
2024-07-05,32,2,272289.89,0.0,8509.0590625,32,0,inf,Fear,Fear,29,
2024-07-06,24,1,2490.17,108.87217799999999,103.75708333333334,17,7,2.4285714285714284,Fear,Fear,26,1.0
2024-07-07,10,1,498.75,61.428942,49.875,0,10,0.0,Fear,Fear,29,1.0
2024-07-08,1,1,497.64,0.0,497.64,1,0,inf,Fear,Fear,28,
2024-07-09,15,1,2736.45,648.984412,182.42999999999998,0,15,0.0,Fear,Fear,27,1.0
2024-07-10,56,2,687900.21,11977.734907,12283.93232142857,10,46,0.21739130434782608,Fear,Fear,28,1.0
2024-07-11,19,1,169887.02,1876.812082,8941.422105263156,10,9,1.1111111111111112,Fear,Fear,29,1.0
2024-07-12,19,2,89582.97,1412.314654,4714.893157894737,19,0,inf,Fear,Fear,25,1.0
2024-07-13,17,2,139189.19,2913.617837,8187.599411764706,0,17,0.0,Fear,Fear,25,1.0
2024-07-14,7,1,84001.13,0.0,12000.16142857143,0,7,0.0,Fear,Fear,33,
2024-07-15,26,2,198344.85,-1.0,7628.6480769230775,2,24,0.08333333333333333,Neutral,Neutral,52,0.0
2024-07-16,22,1,144000.57,0.0,6545.480454545454,0,22,0.0,Greed,Greed,65,
2024-07-17,351,3,626005.53,1859.269477,1783.4915384615385,155,196,0.7908163265306123,Greed,Greed,69,0.9354838709677419
2024-07-18,60,2,649704.85,3803.884311,10828.414166666666,60,0,inf,Greed,Greed,61,1.0
2024-07-19,23,2,150269.42,2155.891114,6533.453043478262,1,22,0.045454545454545456,Greed,Greed,60,1.0
2024-07-20,266,2,244362.21,2299.169566,918.65492481203,41,225,0.18222222222222223,Greed,Greed,74,0.9166666666666666
2024-07-21,448,2,234307.46,-2960.716887,523.0077232142856,239,209,1.1435406698564594,Greed,Greed,74,0.08898305084745763
2024-07-22,154,2,304213.8,1517.119876,1975.4142857142856,103,51,2.019607843137255,Greed,Greed,70,0.20754716981132076
2024-07-23,370,3,358526.54,89890.302206,968.9906486486486,137,233,0.5879828326180258,Greed,Greed,71,0.9038461538461539
2024-07-24,90,5,69207.93,625.561479,768.977,54,36,1.5,Greed,Greed,69,1.0
2024-07-25,78,3,528555.31,916.7382600000001,6776.350128205129,77,1,77.0,Greed,Greed,68,1.0
2024-07-26,152,4,548587.65,2766.513113,3609.1292763157894,43,109,0.3944954128440367,Greed,Greed,68,1.0
2024-07-27,57,2,905199.75,6400.623656,15880.697368421053,9,48,0.1875,Greed,Greed,72,1.0
2024-07-28,16,2,43254.68,587.29903,2703.4175,15,1,15.0,Greed,Greed,71,1.0
2024-07-29,39,2,327199.14,330.80445399999996,8389.72153846154,18,21,0.8571428571428571,Greed,Greed,74,1.0
2024-07-30,6,1,36006.47,0.0,6001.078333333334,6,0,inf,Greed,Greed,67,
2024-07-31,43,2,84506.54,765.690884,1965.2683720930231,17,26,0.6538461538461539,Greed,Greed,61,1.0
2024-08-01,57,4,227774.53,167.080017,3996.044385964912,47,10,4.7,Neutral,Neutral,52,0.5714285714285714
2024-08-02,63,3,396320.37,782.3681909999999,6290.799523809524,42,21,2.0,Greed,Greed,57,1.0
2024-08-03,37,5,290532.86,464.1897,7852.239459459459,36,1,36.0,Fear,Fear,37,1.0
2024-08-04,127,5,1207744.07,-122672.000883,9509.795826771655,60,67,0.8955223880597015,Fear,Fear,34,0.046153846153846156
2024-08-05,80,4,420495.4,-13013.665169,5256.1925,41,39,1.0512820512820513,Fear,Fear,26,0.868421052631579
2024-08-06,107,2,61478.38,267.318048,574.5642990654205,76,31,2.4516129032258065,Extreme Fear,Fear,17,0.5
2024-08-07,33,3,2492.77,188.789255,75.53848484848484,12,21,0.5714285714285714,Fear,Fear,29,1.0
2024-08-08,9,2,16299.35,-40.712216999999995,1811.038888888889,5,4,1.25,Extreme Fear,Fear,20,0.0
2024-08-09,144,5,503204.86,18082.071276,3494.4781944444444,54,90,0.6,Neutral,Neutral,48,0.7413793103448276
2024-08-10,88,2,11339.29,0.0,128.8555681818182,87,1,87.0,Fear,Fear,40,
2024-08-11,24,2,44230.21,847.7766200000001,1842.9254166666667,16,8,2.0,Fear,Fear,39,1.0
2024-08-12,48,3,54167.32,858.6705000000001,1128.4858333333334,39,9,4.333333333333333,Fear,Fear,25,1.0
2024-08-13,23,3,20797.87,212.08102,904.2552173913043,20,3,6.666666666666667,Fear,Fear,31,1.0
2024-08-14,25,3,66710.03,2168.9015130000003,2668.4012,19,6,3.1666666666666665,Fear,Fear,30,1.0
2024-08-15,12,1,1522.3700000000001,0.0,126.86416666666668,12,0,inf,Fear,Fear,29,
2024-08-16,35,2,166382.84,825.230544,4753.795428571429,32,3,10.666666666666666,Fear,Fear,27,1.0
2024-08-17,30,2,30248.96,-288.283113,1008.2986666666667,29,1,29.0,Fear,Fear,25,0.0
2024-08-18,15,2,62804.48,307.201888,4186.965333333334,0,15,0.0,Fear,Fear,31,1.0
2024-08-19,8,1,100315.03,339.69958299999996,12539.37875,3,5,0.6,Fear,Fear,28,1.0
2024-08-20,12,2,49914.8,192.602844,4159.566666666667,5,7,0.7142857142857143,Fear,Fear,30,1.0
2024-08-21,145,2,104990.41,656.200925,724.0717931034483,56,89,0.6292134831460674,Fear,Fear,26,1.0
2024-08-23,10,1,63509.56,1005.30527,6350.956,0,10,0.0,Fear,Fear,34,1.0
2024-08-24,7,2,34999.67,0.0,4999.952857142857,0,7,0.0,Greed,Greed,56,
2024-08-25,17,2,21950.28,0.0,1291.1929411764704,8,9,0.8888888888888888,Neutral,Neutral,54,
2024-08-26,6,2,92611.27,231.236918,15435.211666666668,6,0,inf,Greed,Greed,55,1.0
2024-08-27,50,2,70250.16,0.0,1405.0032,49,1,49.0,Neutral,Neutral,48,
2024-08-28,9,2,71160.06999999999,1333.359645,7906.674444444444,9,0,inf,Fear,Fear,30,1.0
2024-08-29,1,1,9995.85,0.0,9995.85,0,1,0.0,Fear,Fear,29,
2024-08-30,6,4,37233.24,256.464,6205.54,4,2,2.0,Fear,Fear,34,1.0
2024-08-31,34,3,107507.43000000001,10.882801,3161.983235294118,11,23,0.4782608695652174,Fear,Fear,29,0.9230769230769231
2024-09-01,12,1,12359.68,137.433093,1029.9733333333334,7,5,1.4,Fear,Fear,26,1.0
2024-09-02,2,1,30000.42,0.0,15000.21,2,0,inf,Fear,Fear,26,
2024-09-04,34,2,131480.97,1065.785132,3867.0873529411765,31,3,10.333333333333334,Fear,Fear,27,0.625
2024-09-05,1,1,0.84,0.0,0.84,0,1,0.0,Fear,Fear,29,
2024-09-06,42,2,39047.1,-1104.856765,929.6928571428571,4,38,0.10526315789473684,Extreme Fear,Fear,22,0.0
2024-09-08,1,1,0.11,0.0,0.11,0,1,0.0,Fear,Fear,29,
2024-09-09,2,1,4014.4300000000003,0.0,2007.2150000000001,2,0,inf,Fear,Fear,26,
2024-09-10,3,2,2547.28,-219.729659,849.0933333333334,1,2,0.5,Fear,Fear,33,0.0
2024-09-11,1,1,0.54,0.0,0.54,0,1,0.0,Fear,Fear,37,
2024-09-14,11,2,1014.8000000000001,0.0,92.25454545454546,10,1,10.0,Neutral,Neutral,50,
2024-09-18,145,1,13633.5,-878.684794,94.02413793103449,11,134,0.08208955223880597,Neutral,Neutral,45,0.0
2024-09-19,19,1,1521.8700000000001,0.0,80.09842105263158,19,0,inf,Neutral,Neutral,49,
2024-09-20,16,2,332873.38,9585.03428,20804.58625,3,13,0.23076923076923078,Neutral,Neutral,54,0.8888888888888888
2024-09-21,23,1,165648.12,36165.56933,7202.092173913044,0,23,0.0,Neutral,Neutral,54,1.0
2024-09-22,3,1,19999.739999999998,0.0,6666.579999999999,3,0,inf,Neutral,Neutral,52,
2024-09-23,2,1,40334.29,334.760796,20167.145,1,1,1.0,Neutral,Neutral,50,1.0
2024-09-24,10,2,7118.63,0.0,711.863,9,1,9.0,Neutral,Neutral,54,
2024-09-25,9,2,52754.130000000005,0.0,5861.570000000001,6,3,2.0,Greed,Greed,59,
2024-09-26,8,2,113711.93000000001,439.812513,14213.991250000001,0,8,0.0,Neutral,Neutral,50,1.0
2024-09-27,56,2,126097.04,0.0,2251.732857142857,0,56,0.0,Greed,Greed,61,
2024-09-28,4,1,29199.21,0.0,7299.8025,0,4,0.0,Greed,Greed,64,
2024-09-30,106,2,214669.85,2710.626288,2025.1872641509435,10,96,0.10416666666666667,Greed,Greed,61,1.0
2024-10-01,4,1,139954.32,0.0,34988.58,4,0,inf,Neutral,Neutral,50,
2024-10-02,4,1,99954.34,0.0,24988.585,4,0,inf,Fear,Fear,42,
2024-10-03,9,2,132935.69,100.375782,14770.632222222222,6,3,2.0,Fear,Fear,37,1.0
2024-10-04,1,1,0.34,0.0,0.34,0,1,0.0,Fear,Fear,41,
2024-10-05,37,2,605605.74,5767.161892,16367.722702702702,9,28,0.32142857142857145,Neutral,Neutral,49,1.0
2024-10-06,22,1,300130.56,130.487079,13642.298181818182,6,16,0.375,Neutral,Neutral,50,1.0
2024-10-07,21,1,219984.65,0.0,10475.459523809524,0,21,0.0,Neutral,Neutral,50,
2024-10-08,36,2,434584.13,5396.546638,12071.781388888889,34,2,17.0,Neutral,Neutral,49,1.0
2024-10-09,14,1,220399.93,396.06272,15742.852142857142,11,3,3.6666666666666665,Neutral,Neutral,49,1.0
2024-10-10,16,1,300024.33999999997,0.0,18751.521249999998,16,0,inf,Fear,Fear,39,
2024-10-11,26,2,488904.19,8885.327477,18804.007307692307,0,26,0.0,Fear,Fear,32,1.0
2024-10-12,10,1,159713.4,541.55471,15971.34,7,3,2.3333333333333335,Neutral,Neutral,49,1.0
